id,年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
1,2024,1,8,月,野菜総計,30000,,,11944067,241,88.2,103.4
2,2024,1,8,月,野菜総計,30000,茨　城,8,1497469,154,,
3,2024,1,8,月,野菜総計,30000,愛　知,23,1368708,177,,
4,2024,1,8,月,野菜総計,30000,千　葉,12,1245325,160,,
5,2024,1,8,月,野菜総計,30000,北海道,1,1036047,187,,
6,2024,1,8,月,野菜総計,30000,熊　本,43,993311,268,,
7,2024,1,8,月,野菜総計,30000,長　崎,42,804708,150,,
8,2024,1,8,月,野菜総計,30000,宮　崎,45,504577,401,,
9,2024,1,8,月,だいこん,30100,,,1195393,72,85.9,93.5
10,2024,1,8,月,だいこん,30100,神奈川,14,381160,67,,
11,2024,1,8,月,だいこん,30100,千　葉,12,342317,66,,
12,2024,1,8,月,だいこん,30100,長　崎,42,203806,73,,
13,2024,1,8,月,だいこん,30100,鹿児島,46,84891,68,,
14,2024,1,8,月,かぶ,30200,,,110718,133,84.5,100.8
15,2024,1,8,月,かぶ,30200,千　葉,12,61111,133,,
16,2024,1,8,月,かぶ,30200,京　都,26,13232,142,,
17,2024,1,8,月,かぶ,30200,埼　玉,11,9962,108,,
18,2024,1,8,月,かぶ,30200,徳　島,36,7824,155,,
19,2024,1,8,月,にんじん,30300,,,618124,126,98.8,99.2
20,2024,1,8,月,にんじん,30300,千　葉,12,320367,130,,
21,2024,1,8,月,にんじん,30300,長　崎,42,137380,120,,
22,2024,1,8,月,にんじん,30300,愛　知,23,74309,128,,
23,2024,1,8,月,ごぼう,30400,,,60436,396,92.6,115.5
24,2024,1,8,月,ごぼう,30400,青　森,2,37891,273,,
25,2024,1,8,月,ごぼう,30400,熊　本,43,8570,808,,
26,2024,1,8,月,ごぼう,30400,鹿児島,46,3964,706,,
27,2024,1,8,月,たけのこ,30500,,,1667,1774,109.2,102.6
28,2024,1,8,月,たけのこ,30500,鹿児島,46,713,2393,,
29,2024,1,8,月,たけのこ,30500,京　都,26,6,3492,,
30,2024,1,8,月,れんこん,30600,,,62590,370,83.6,92.3
31,2024,1,8,月,れんこん,30600,茨　城,8,48857,320,,
32,2024,1,8,月,れんこん,30600,徳　島,36,5975,630,,
33,2024,1,8,月,はくさい,31100,,,1433312,61,75.4,105.2
34,2024,1,8,月,はくさい,31100,茨　城,8,960682,57,,
35,2024,1,8,月,はくさい,31100,兵　庫,28,95249,69,,
36,2024,1,8,月,はくさい,31100,愛　知,23,78592,77,,
37,2024,1,8,月,はくさい,31100,鹿児島,46,76155,58,,
38,2024,1,8,月,みずな,31300,,,53711,402,99.3,87.8
39,2024,1,8,月,みずな,31300,茨　城,8,38383,389,,
40,2024,1,8,月,みずな,31300,福　岡,40,6858,382,,
41,2024,1,8,月,こまつな,31500,,,124487,313,107.9,95.7
42,2024,1,8,月,こまつな,31500,茨　城,8,66624,297,,
43,2024,1,8,月,こまつな,31500,福　岡,40,19845,329,,
44,2024,1,8,月,こまつな,31500,埼　玉,11,7426,266,,
45,2024,1,8,月,こまつな,31500,岐　阜,21,3379,387,,
46,2024,1,8,月,こまつな,31500,広　島,34,3186,569,,
47,2024,1,8,月,その他の菜類,31550,,,5770,344,126.4,99.7
48,2024,1,8,月,ちんげんさい,31560,,,35343,294,98,96.1
49,2024,1,8,月,ちんげんさい,31560,茨　城,8,12450,268,,
50,2024,1,8,月,ちんげんさい,31560,静　岡,22,10217,328,,
51,2024,1,8,月,ちんげんさい,31560,愛　知,23,3004,209,,
52,2024,1,8,月,ちんげんさい,31560,福　岡,40,2974,335,,
53,2024,1,8,月,キャベツ,31700,,,1456742,76,81.8,98.7
54,2024,1,8,月,キャベツ,31700,愛　知,23,807149,77,,
55,2024,1,8,月,キャベツ,31700,千　葉,12,243557,67,,
56,2024,1,8,月,キャベツ,31700,神奈川,14,91720,70,,
57,2024,1,8,月,キャベツ,31700,兵　庫,28,46660,72,,
58,2024,1,8,月,ほうれんそう,31800,,,175421,442,117.4,89.3
59,2024,1,8,月,ほうれんそう,31800,茨　城,8,52030,401,,
60,2024,1,8,月,ほうれんそう,31800,群　馬,10,48444,505,,
61,2024,1,8,月,ほうれんそう,31800,福　岡,40,27264,408,,
62,2024,1,8,月,ほうれんそう,31800,徳　島,36,10161,438,,
63,2024,1,8,月,ほうれんそう,31800,愛　知,23,8035,343,,
64,2024,1,8,月,ねぎ,31900,,,421309,435,93.2,96.5
65,2024,1,8,月,ねぎ,31900,千　葉,12,82941,397,,
66,2024,1,8,月,ねぎ,31900,茨　城,8,72922,318,,
67,2024,1,8,月,ねぎ,31900,埼　玉,11,52519,488,,
68,2024,1,8,月,ねぎ,31900,群　馬,10,47441,372,,
69,2024,1,8,月,ねぎ,31900,栃　木,9,28496,346,,
70,2024,1,8,月,ふき,32300,,,4721,379,69.8,95.9
71,2024,1,8,月,ふき,32300,愛　知,23,4176,358,,
72,2024,1,8,月,うど,32400,,,2167,681,120.1,93.8
73,2024,1,8,月,うど,32400,栃　木,9,1940,662,,
74,2024,1,8,月,みつば,32500,,,14522,949,83.6,79
75,2024,1,8,月,みつば,32500,茨　城,8,3219,1561,,
76,2024,1,8,月,みつば,32500,千　葉,12,2605,485,,
77,2024,1,8,月,みつば,32500,愛　知,23,2325,855,,
78,2024,1,8,月,みつば,32500,静　岡,22,1816,668,,
79,2024,1,8,月,みつば,32500,大　分,44,1398,821,,
80,2024,1,8,月,しゅんぎく,32600,,,27923,649,77.3,85.5
81,2024,1,8,月,しゅんぎく,32600,千　葉,12,5120,695,,
82,2024,1,8,月,しゅんぎく,32600,福　岡,40,3293,486,,
83,2024,1,8,月,しゅんぎく,32600,群　馬,10,3087,697,,
84,2024,1,8,月,しゅんぎく,32600,大　阪,27,2843,474,,
85,2024,1,8,月,しゅんぎく,32600,茨　城,8,2263,601,,
86,2024,1,8,月,にら,32800,,,57991,846,120.9,96.1
87,2024,1,8,月,にら,32800,高　知,39,24349,843,,
88,2024,1,8,月,にら,32800,栃　木,9,14887,887,,
89,2024,1,8,月,にら,32800,茨　城,8,7092,724,,
