id,vegetable_name,nutrition_name,amount
1,だいこん,ビタミンC,5.2
2,だいこん,ビタミンE,0.4
3,だいこん,βカロテン,0
4,だいこん,カルシウム,10
5,だいこん,カリウム,300
6,だいこん,食物繊維,1.5
7,かぶ,ビタミンC,20
8,かぶ,ビタミンE,0.1
9,かぶ,βカロテン,0
10,かぶ,カルシウム,25
11,かぶ,カリウム,230
12,かぶ,食物繊維,1
13,にんじん,ビタミンC,7
14,にんじん,ビタミンE,0.3
15,にんじん,βカロテン,8
16,にんじん,カルシウム,30
17,にんじん,カリウム,200
18,にんじん,食物繊維,2.8
19,ごぼう,ビタミンC,5
20,ごぼう,ビタミンE,1.2
21,ごぼう,βカロテン,0.5
22,ごぼう,カルシウム,30
23,ごぼう,カリウム,450
24,ごぼう,食物繊維,5
25,たけのこ,ビタミンC,2.5
26,たけのこ,ビタミンE,0.2
27,たけのこ,βカロテン,0
28,たけのこ,カルシウム,5
29,たけのこ,カリウム,250
30,たけのこ,食物繊維,3
31,れんこん,ビタミンC,40
32,れんこん,ビタミンE,1
33,れんこん,βカロテン,2
34,れんこん,カルシウム,30
35,れんこん,カリウム,500
36,れんこん,食物繊維,4
37,はくさい,ビタミンC,40
38,はくさい,ビタミンE,0.6
39,はくさい,βカロテン,10
40,はくさい,カルシウム,60
41,はくさい,カリウム,350
42,はくさい,食物繊維,1
43,みずな,ビタミンC,25
44,みずな,ビタミンE,0.5
45,みずな,βカロテン,3
46,みずな,カルシウム,100
47,みずな,カリウム,300
48,みずな,食物繊維,2
49,こまつな,ビタミンC,40
50,こまつな,ビタミンE,0.8
51,こまつな,βカロテン,2.5
52,こまつな,カルシウム,90
53,こまつな,カリウム,330
54,こまつな,食物繊維,2.2
55,ちんげんさい,ビタミンC,30
56,ちんげんさい,ビタミンE,1
57,ちんげんさい,βカロテン,5
58,ちんげんさい,カルシウム,80
59,ちんげんさい,カリウム,420
60,ちんげんさい,食物繊維,2.5
61,キャベツ,ビタミンC,60
62,キャベツ,ビタミンE,0.9
63,キャベツ,βカロテン,30
64,キャベツ,カルシウム,60
65,キャベツ,カリウム,450
66,キャベツ,食物繊維,3
67,ほうれんそう,ビタミンC,50
68,ほうれんそう,ビタミンE,2
69,ほうれんそう,βカロテン,50
70,ほうれんそう,カルシウム,100
71,ほうれんそう,カリウム,500
72,ほうれんそう,食物繊維,4
73,ねぎ,ビタミンC,20
74,ねぎ,ビタミンE,0.4
75,ねぎ,βカロテン,3
76,ねぎ,カルシウム,40
77,ねぎ,カリウム,350
78,ねぎ,食物繊維,1.5
79,ふき,ビタミンC,10
80,ふき,ビタミンE,0.3
81,ふき,βカロテン,1
82,ふき,カルシウム,40
83,ふき,カリウム,250
84,ふき,食物繊維,3.5
85,うど,ビタミンC,3
86,うど,ビタミンE,0.2
87,うど,βカロテン,0
88,うど,カルシウム,15
89,うど,カリウム,180
90,うど,食物繊維,2
91,みつば,ビタミンC,20
92,みつば,ビタミンE,0.4
93,みつば,βカロテン,3
94,みつば,カルシウム,75
95,みつば,カリウム,300
96,みつば,食物繊維,1.8
97,しゅんぎく,ビタミンC,40
98,しゅんぎく,ビタミンE,0.9
99,しゅんぎく,βカロテン,8
100,しゅんぎく,カルシウム,100
101,しゅんぎく,カリウム,350
102,しゅんぎく,食物繊維,2.2
103,にら,ビタミンC,25
104,にら,ビタミンE,1
105,にら,βカロテン,10
106,にら,カルシウム,70
107,にら,カリウム,200
108,にら,食物繊維,1.5
109,セルリー,ビタミンC,10
110,セルリー,ビタミンE,0.3
111,セルリー,βカロテン,3
112,セルリー,カルシウム,40
113,セルリー,カリウム,350
114,セルリー,食物繊維,1.5
115,アスパラガス,ビタミンC,10
116,アスパラガス,ビタミンE,1.5
117,アスパラガス,βカロテン,6
118,アスパラガス,カルシウム,25
119,アスパラガス,カリウム,300
